"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","XiaomiCo_e2:2c:1c","HewlettP_e1:a9:74","ARP","60","Who has 192.168.100.1? Tell 192.168.100.144"
"2","0.000058857","HewlettP_e1:a9:74","XiaomiCo_e2:2c:1c","ARP","60","192.168.100.1 is at 5c:b9:01:e1:a9:74"
"3","6.822615347","192.168.100.144","connectivitycheck.gstatic.com","TCP","66","38414  >  https(443) [FIN, ACK] Seq=1 Ack=1 Win=398 Len=0 TSval=9308587 TSecr=455377137"
"4","6.837279997","connectivitycheck.gstatic.com","192.168.100.144","TCP","66","https(443)  >  38414 [FIN, ACK] Seq=1 Ack=2 Win=269 Len=0 TSval=455421247 TSecr=9308587"
"5","6.839821443","192.168.100.144","connectivitycheck.gstatic.com","TCP","66","38414  >  https(443) [ACK] Seq=2 Ack=2 Win=398 Len=0 TSval=9308597 TSecr=455421247"
"6","7.811258330","192.168.100.144","192.168.100.1","DNS","77","Standard query 0x9e40 A api.onesignal.com"
"7","7.850086322","192.168.100.1","192.168.100.144","DNS","109","Standard query response 0x9e40 A api.onesignal.com A 104.18.225.52 A 104.18.226.52"
"8","7.857536286","192.168.100.144","www.googleapis.com","TCP","1484","46000  >  https(443) [ACK] Seq=1 Ack=1 Win=396 Len=1418 TSval=9308849 TSecr=1829746397 [TCP segment of a reassembled PDU]"
"9","7.857566160","192.168.100.144","www.googleapis.com","TLSv1.2","836","Application Data"
"10","7.869955914","192.168.100.144","api.onesignal.com","TCP","74","53300  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=9308854 TSecr=0 WS=256"
"11","7.872173144","www.googleapis.com","192.168.100.144","TCP","66","https(443)  >  46000 [ACK] Seq=1 Ack=2189 Win=394 Len=0 TSval=1829803090 TSecr=9308849"
"12","7.876402868","api.onesignal.com","192.168.100.144","TCP","66","https(443)  >  53300 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024"
"13","7.879258837","192.168.100.144","api.onesignal.com","TCP","60","53300  >  https(443) [ACK] Seq=1 Ack=1 Win=87808 Len=0"
"14","7.886337559","www.googleapis.com","192.168.100.144","TLSv1.2","782","Application Data"
"15","7.886400509","www.googleapis.com","192.168.100.144","TLSv1.2","93","Application Data"
"16","7.899380009","192.168.100.144","www.googleapis.com","TCP","66","46000  >  https(443) [ACK] Seq=2189 Ack=744 Win=405 Len=0 TSval=9308862 TSecr=1829803104"
"17","7.899667261","192.168.100.144","api.onesignal.com","TLSv1.3","571","Client Hello"
"18","7.906172906","api.onesignal.com","192.168.100.144","TCP","60","https(443)  >  53300 [ACK] Seq=1 Ack=518 Win=65536 Len=0"
"19","7.907583757","api.onesignal.com","192.168.100.144","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"20","7.907711093","api.onesignal.com","192.168.100.144","TLSv1.3","1511","Application Data"
"21","7.910095097","192.168.100.144","api.onesignal.com","TCP","60","53300  >  https(443) [ACK] Seq=518 Ack=1461 Win=90624 Len=0"
"22","7.910273344","192.168.100.144","api.onesignal.com","TCP","60","53300  >  https(443) [ACK] Seq=518 Ack=2918 Win=93440 Len=0"
"23","7.987627659","192.168.100.144","api.onesignal.com","TLSv1.3","118","Change Cipher Spec, Application Data"
"24","7.987632730","192.168.100.144","192.168.100.1","DNS","77","Standard query 0xae8e A script.google.com"
"25","7.987685208","192.168.100.144","192.168.100.1","DNS","84","Standard query 0x3055 A global.market.xiaomi.com"
"26","7.994075313","api.onesignal.com","192.168.100.144","TCP","60","https(443)  >  53300 [ACK] Seq=2918 Ack=582 Win=65536 Len=0"
"27","7.997788242","192.168.100.144","api.onesignal.com","TLSv1.3","391","Application Data"
"28","8.004292475","api.onesignal.com","192.168.100.144","TCP","60","https(443)  >  53300 [ACK] Seq=2918 Ack=919 Win=65536 Len=0"
"29","8.087835969","api.onesignal.com","192.168.100.144","TLSv1.3","1514","Application Data"
"30","8.087836081","api.onesignal.com","192.168.100.144","TLSv1.3","258","Application Data"
"31","8.087913804","api.onesignal.com","192.168.100.144","TLSv1.3","81","Application Data"
"32","8.096909825","192.168.100.144","connectivitycheck.gstatic.com","TCP","74","38418  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=9308911 TSecr=0 WS=256"
"33","8.098120109","192.168.100.144","api.onesignal.com","TCP","60","53300  >  https(443) [ACK] Seq=919 Ack=4378 Win=96512 Len=0"
"34","8.098272553","192.168.100.144","api.onesignal.com","TCP","60","53300  >  https(443) [ACK] Seq=919 Ack=4582 Win=99328 Len=0"
"35","8.098339769","192.168.100.144","api.onesignal.com","TCP","60","53300  >  https(443) [ACK] Seq=919 Ack=4609 Win=99328 Len=0"
"36","8.112522545","connectivitycheck.gstatic.com","192.168.100.144","TCP","74","https(443)  >  38418 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1430 SACK_PERM=1 TSval=1362202550 TSecr=9308911 WS=256"
"37","8.115355105","192.168.100.144","connectivitycheck.gstatic.com","TCP","66","38418  >  https(443) [ACK] Seq=1 Ack=1 Win=87808 Len=0 TSval=9308916 TSecr=1362202550"
